question,Subject,answer1,answer2,answer3,answer4,Correct_answer
Съёмки какого фильма свели Бреда Питта с Анджелиной Джоли?,Фильмы,"""Мистер и миссис Смит""","""Троя"""," ""Счастливы вместе"""," ""Лара Крофт-расхитительница гробниц""","""Мистер и миссис Смит"""
"С какой стороны от ресторана ""Плакучая ива"" находился туалет типа сортир? (к/ф ""Бриллиантовая рука"") ",фильмы,50 м на север,100 м на запад,30 м на юг,40 м на восток,50 м на север
"В каком фильме прозвучала фраза: «Возьму с собой „Идиота“, чтобы не скучать в троллейбусе»? ",Фильмы,«Весна»,«Весёлые ребята»,«Цирк»,«Волга-Волга»,«Весна»
"Режиссер легендарного фильма ""Троя""? ",Фильмы,Вольфганг Петерсен,Стивен Спилберг,Сергей Бондарч,Джеймс Камерон,Вольфганг Петерсен
Благодаря чему попали в Книгу рекордов Гиннеса странствующий альбатрос и африканский марабу?,Разное,Размах крыльев,Количество перьев,Дальность беспосадочного полёта,Вес,Размах крыльев
Что собирает девушка на картине Карла Брюллова «Итальянский полдень»?,Искусство,Виноград,Грибы,Пазл,Марки,Виноград
Какое произведение есть у Ги де Мопассана?,Литература,Пышка,Эклер,Слойка,Круассан,Пышка
"Назовите автора романа ""Капитан Фракасс"". ",Литература,Теофил Готье,Рафаэль Сабатини,Джозеф Конрад,Луи Буссенар,Теофил Готье
"Как назывался четырехмачтовый барк ""Крузенштерн"" до его передачи СССР после второй мировой войны? ",История,Падуя,Марсель,Гамбург,Барселона,Падуя
Кто в годы второй Мировой войны на собственном катере выслеживал немецкие подводные лодки?,История,Хемингуэй,Драйзер,Фицджеральд,Фолкнер,Хемингуэй
"Какое молодёжное движение избрало своим девизом фразу «Занимайтесь любовью, а не войной»? ",Разное,Хиппи,Панки,Металлисты,Рэпперы,Хиппи
Как называлась самая высокая горная вершина на территории СССР?,География,Пик Коммунизма,Пик Ленина,Пик Победы,Пик Революции,Пик Коммунизма
Какое животное в индуизме считается священным?,История,Корова,Тигр,Обезьяна,Слон,Корова
"Какого цвета скатерть на картине ""Тайная вечеря"" Да Винчи? ",Искусство,Белая,Красная,Зеленая,Черная,Белая
"С какими животными сражался на арене главный герой фильма 2000 г. ""Гладиатор""? ",Фильмы,Тигры,Шакалы,Львы,Леопарды,Тигры
Как звали героя романа английского писателя Сэмюэла Ричардсона «Кларисса»?,Литература,Ловелас,Казанова,Альфонс,Дон Жуан,Ловелас
"Какой роман Достоевского экранизировал в 1951 году Акира Куросава, перенеся его действие в послевоенную Японию? ",Литература,«Идиот»,«Преступление и наказание»,«Бесы»,«Братья Карамазовы»,«Идиот»
Какую из этих пьес написал не Е. Л. Шварц?,Литература,"""Двенадцать месяцев""","""Голый король"""," ""Снежная королева"""," ""Обыкновенное чудо""","""Двенадцать месяцев"""
"Кто написал книгу ""Иудейская война""? ",Литература,Иосив Флавий,Тит Ливий,Гай Светоний,Плутарх,Иосив Флавий
Какой из этих кинофильмов снял режиссёр Федерико Феллини?,Фильмы,"""Джинджер и Фред""","""Фанни и Александр"""," ""Дюль и Джим"""," ""Бони и Клайд""","""Джинджер и Фред"""
"Какой инвентарь используют на Олимпийских играх спортсмены, соревнующиеся в хаф-пайпе? ",Спорт,Сани,Лыжи,Коньки,Сноуборд,Сноуборд
За что Владимир Высоцкий был посмертно удостоен Государственной премии СССР?,Искусство,За военные песни,За роль Гамлета,За все творчество,За роль Жеглова,За роль Жеглова
"Какой инструмент в фильме ""Бриллиантовая рука"" Гена Козодоев сломал в ресторане ""Плакучая ива""? ",Фильмы,аккордеон,саксофон,ксилофон,тромбон,тромбон
"Сколько птиц сидит на снегу на картине Саврасова ""Грачи прилетели""? ",Искусство,4,2,3,1,1
Что делает царь Пётр I на картине Сурикова «Утро стрелецкой казни»?,Искусство,стоит в карете,сидит на троне,стоит с кнутом,сидит на коне,сидит на коне
"Кто был автором книги ""Основания психологии"" вводившей термин ""поток сознания""? ",Литература,Анна Фрейд,Карл Юнг,Альфред Адлер,Уильям Джеймс,Уильям Джеймс
На какой из картин изображена дочь мецената Саввы Ивановича Мамонтова?,Искусство," ""Всадница""","""Осенний день. Сокольники"""," ""Алёнушка""","""Девочка с персиками""","""Девочка с персиками"""
Кто считается автором Книги Притчей Ветхого Завета?,История,Давид,Моисей,Самуил,Соломон,Соломон
"Как называется синтетическое волокно, которое разработала Лаборатория высокомолекулярных соединений Академии наук СССР? ",Наука,капрон,вискоза,нейлон,лавсан,лавсан
"Как называлась первая книга, напечатанная Иваном Федоровым? ",Литература," ""Четьи-Минеи""","""Государь"""," ""Домострой""","""Апостол""","""Апостол"""
В каком виде спорта разыгрывают кубок Стэнли?,Спорт,Теннис,Футбол,Велоспорт,Хоккей,Хоккей
